"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","4.08e+03","4.08e+03","84.1","82.9","(3.95e+03, 4.22e+03)"," 724","1.37e+03","1.02"
"2","mean_metabolite","  11","  11","0.0503","0.0513","(10.9, 11.1)","6.47e+03","3.19e+03","   1"
"3","mean_dilution","1.06","1.06","0.0187","0.0183","(1.03, 1.09)"," 315"," 530","1.02"
"4","mean_injection","0.764","0.764","0.0175","0.0172","(0.735, 0.793)"," 256"," 483","1.02"
"5","mean_dilution_injection_interaction","-0.145","-0.144","0.0231","0.0227","(-0.183, -0.107)"," 552","1.26e+03","1.01"
"6","mean_sigma_dilution","-0.283","-0.283","0.0213","0.0209","(-0.316, -0.247)","6.62e+03","3.28e+03","   1"
"7","mean_sigma_injection","-0.108","-0.108","0.0152","0.0152","(-0.133, -0.0832)","6.37e+03","3.11e+03","   1"
"8","mean_sigma_dilution_injection_interaction","0.383","0.382","0.0216","0.0212","(0.346, 0.419)","4.9e+03","2.91e+03","   1"
"9","mean_log_sigma","-1.82","-1.82","0.0249","0.0246","(-1.86, -1.78)","6.2e+03","3.06e+03","   1"
"10","dmean_metabolite","11.9","11.9","0.107","0.108","(11.8, 12.1)","6.35e+03","3.31e+03","   1"
"11","dmean_dilution","0.394","0.395","0.0415","0.0419","(0.326, 0.463)"," 189"," 295","1.03"
"12","dmean_injection","0.517","0.516","0.0532","0.0536","(0.432, 0.608)"," 144"," 358","1.05"
"13","dmean_dilution_injection_interaction","-0.0588","-0.0594","0.0434","0.0412","(-0.129, 0.0134)"," 846","1.4e+03","1.01"
"14","dmean_sigma_dilution","-0.341","-0.341","0.0473","0.0475","(-0.42, -0.264)","7.12e+03","3.13e+03","   1"
"15","dmean_sigma_injection","-0.0295","-0.03","0.0329","0.0332","(-0.0824, 0.0236)","6.56e+03","3.33e+03","   1"
"16","dmean_sigma_dilution_injection_interaction","-0.00472","-0.00539","0.0396","0.0383","(-0.068, 0.061)","6.66e+03","3.34e+03","   1"
"17","dmean_log_sigma","-1.91","-1.91","0.0519","0.0524","(-1.99, -1.82)","5.79e+03","3.34e+03","   1"
"18","sd_metabolite","1.47","1.47","0.0316","0.0309","(1.42, 1.53)","6.81e+03","3.16e+03","   1"
"19","sd_dilution","0.485","0.485","0.0109","0.0108","(0.467, 0.504)"," 150"," 456","1.06"
"20","sd_injection","0.278","0.278","0.00642","0.00629","(0.267, 0.289)"," 272"," 601","1.03"
"21","sd_dilution_injection_interaction","0.501","0.501","0.00727","0.00734","(0.489, 0.512)","2.04e+03","2.84e+03","   1"
"22","sd_sigma_dilution","0.61","0.609","0.0148","0.0148","(0.586, 0.634)","5.54e+03","3.28e+03","0.999"
"23","sd_sigma_injection","0.411","0.41","0.0107","0.0107","(0.394, 0.428)","4.25e+03","3.22e+03","   1"
"24","sd_sigma_dilution_injection_interaction","0.59","0.59","0.0158","0.0161","(0.564, 0.615)","3.12e+03","2.77e+03","   1"
"25","sd_log_sigma","0.716","0.715","0.0158","0.0159","(0.69, 0.742)","6.36e+03","3.2e+03","   1"
"26","rho_di[2,1]","0.735","0.736","0.014","0.0141","(0.712, 0.758)"," 403"," 780","1.01"
"27","rho_ms[2,1]","-0.555","-0.556","0.0215","0.0205","(-0.59, -0.519)","5.55e+03","3.29e+03","   1"
"28","sigma_shared[1]","0.282","0.28","0.0248","0.0238","(0.245, 0.326)"," 449"," 866","1.02"
"29","sigma_shared[2]","0.0929","0.0923","0.00898","0.0085","(0.0792, 0.109)"," 448"," 751","1.01"
